央视,#genre#
CCTV-1,http://121.19.134.126:808/hls/1/index.m3u8
CCTV-2,http://121.19.134.246:808/hls/2/index.m3u8
CCTV-3,http://121.19.134.246:808/hls/3/index.m3u8
CCTV-4,http://121.19.134.246:808/hls/4/index.m3u8
CCTV-5,http://121.19.134.246:808/hls/5/index.m3u8
CCTV-5+,http://121.19.134.246:808/hls/17/index.m3u8
CCTV-6,http://121.19.134.246:808/hls/6/index.m3u8
CCTV-7,http://121.19.134.246:808/hls/7/index.m3u8
CCTV-8,http://121.19.134.246:808/hls/8/index.m3u8
CCTV-9,http://121.19.134.246:808/hls/9/index.m3u8
CCTV-10,http://121.19.134.246:808/hls/10/index.m3u8
CCTV-11,http://121.19.134.246:808/hls/11/index.m3u8
CCTV-12,http://121.19.134.246:808/hls/12/index.m3u8
CCTV-13,http://121.19.134.246:808/hls/13/index.m3u8
CCTV-14,http://121.19.134.246:808/hls/14/index.m3u8
CCTV-15,http://121.19.134.246:808/hls/15/index.m3u8
CCTV-16,http://113.9.171.201:88/hls/100/index.m3u8
CCTV-17,http://121.19.134.246:808/hls/16/index.m3u8

卫视,#genre#
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225799/index.m3u8
吉林卫视,http://60.211.167.226:8888/newlive/live/hls/35/live.m3u8
北京卫视,http://60.211.167.226:8888/newlive/live/hls/19/live.m3u8
东方卫视,http://60.211.167.226:8888/newlive/live/hls/20/live.m3u8
广东卫视,http://60.211.167.226:8888/newlive/live/hls/21/live.m3u8
江苏卫视,http://60.211.167.226:8888/newlive/live/hls/22/live.m3u8
辽宁卫视,http://60.211.167.226:8888/newlive/live/hls/23/live.m3u8
浙江卫视,http://60.211.167.226:8888/newlive/live/hls/24/live.m3u8
安徽卫视,http://60.211.167.226:8888/newlive/live/hls/25/live.m3u8
广西卫视,http://60.211.167.226:8888/newlive/live/hls/26/live.m3u8
云南卫视,http://60.211.167.226:8888/newlive/live/hls/27/live.m3u8
深圳卫视,http://60.211.167.226:8888/newlive/live/hls/28/live.m3u8
贵州卫视,http://60.211.167.226:8888/newlive/live/hls/29/live.m3u8
山东卫视,http://60.211.167.226:8888/newlive/live/hls/30/live.m3u8
重庆卫视,http://60.211.167.226:8888/newlive/live/hls/31/live.m3u8
四川卫视,http://60.211.167.226:8888/newlive/live/hls/32/live.m3u8
河南卫视,http://60.211.167.226:8888/newlive/live/hls/33/live.m3u8
湖北卫视,http://60.211.167.226:8888/newlive/live/hls/34/live.m3u8
西藏卫视,http://60.211.167.226:8888/newlive/live/hls/36/live.m3u8
新疆卫视,http://60.211.167.226:8888/newlive/live/hls/37/live.m3u8
青海卫视,http://60.211.167.226:8888/newlive/live/hls/38/live.m3u8
宁夏卫视,http://60.211.167.226:8888/newlive/live/hls/39/live.m3u8
陕西卫视,http://60.211.167.226:8888/newlive/live/hls/40/live.m3u8
天津卫视,http://60.211.167.226:8888/newlive/live/hls/41/live.m3u8
